ticker,name,segment,period_end,operating_income,da,ebitda,bs_date,total_debt,cash,net_debt,shares,price,market_cap,yf_shares,ev,ev_ebitda,median_eligible,nm_reason,seg_median,vs_median
AMAT,Applied Materials,equipment,2025-10-26,8289000000,435000000,8724000000,2025-10-26,6455000000.0,7241000000,-786000000,793959430,573.4151000976562,455268326026.9281,793959430,454482326026.9281,52.09563572064742,True,,52.98249441066981,0.9832612884710882
LRCX,Lam Research,equipment,2025-06-29,5900968000,386277000,6287245000,2025-06-29,4469364000.0,6390659000,-1921295000,1250571000,328.3999938964844,410676999967.3157,1250539000,408755704967.3157,65.01348443830575,True,,52.98249441066981,1.2270748133219846
KLAC,KLA Corporation,equipment,2025-06-30,5014227000,412400000,5426627000,2025-06-30,5884257000.0,2078908000,3805349000,130627521,220.875,288523537008.75,1306275210,292328886008.75,53.869353100692194,True,,52.98249441066981,1.016738711528912
TER,Teradyne,equipment,2025-12-31,650051000,127981000,778032000,2025-12-31,0.0,293751000,-293751000,156542162,340.5199890136719,53305735284.41644,156542162,53011984284.41644,68.13599477195854,True,,52.98249441066981,1.2860095684403463
MKSI,MKS Instruments,equipment,2025-12-31,528000000,344000000,872000000,2025-12-31,4225000000.0,418000000,3807000000,67544129,348.8900146484375,23565472156.225952,67544129,27372472156.225952,31.390449720442607,True,,52.98249441066981,0.5924683250496617
ENTG,Entegris,equipment,2025-12-31,455900000,389700000,845600000,2025-12-31,3716600000.0,360400000,3356200000,152500000,136.25999450683594,20752397163.391113,152300000,24108597163.391113,28.51063997562809,True,,52.98249441066981,0.538114339325755
NVDA,NVIDIA,designer,2026-01-25,130387000000,2888000000,133275000000,2026-01-25,8468000000.0,10605000000,-2137000000,24200000000,203.89500427246094,4938540898483.276,24221000000,4936403898483.276,37.03923390345734,True,,55.29920426067596,0.6697968695689978
AVGO,Broadcom,designer,2025-11-02,25484000000,8636000000,34120000000,2025-11-02,65136000000.0,16178000000,48958000000,4757580198,386.29949951171875,1837850849374.2637,4757580198,1886808849374.2637,55.29920426067596,True,,55.29920426067596,1.0
QCOM,Qualcomm,designer,2025-09-28,12355000000,1621000000,13976000000,2025-09-28,14811000000.0,5520000000,9291000000,1054000000,185.27000427246094,195274584503.17383,1054000000,204565584503.17383,14.636919326214498,True,,55.29920426067596,0.2646858941625498
AMD,Advanced Micro Devices,designer,2025-12-27,3694000000,3571000000,7265000000,2025-12-27,3222000000.0,5539000000,-2317000000,1630600639,536.3599853515625,874588934848.2885,1630600639,872271934848.2885,120.06496006170522,True,,55.29920426067596,2.1711878437839496
TXN,Texas Instruments,designer,2025-12-31,6023000000,1918000000,7941000000,2025-12-31,14048000000.0,3225000000,10823000000,910092791,298.5050048828125,271667253021.26746,910092791,282490253021.26746,35.573637202023356,True,,55.29920426067596,0.6432938353747754
MRVL,Marvell Technology,designer,2026-01-31,1322900000,1512300000,2835200000,2026-01-31,4470600000.0,2638800000,1831800000,874800000,216.10499572753906,193963833697.69153,897544423,195795633697.69153,69.0588437139149,True,,55.29920426067596,1.2488216537145294
MPWR,Monolithic Power Systems,designer,2025-12-31,728636000,52513000,781149000,2025-12-31,0.0,1099302000,-1099302000,49130000,1287.02001953125,63230350173.895996,49129267,62131048173.895996,79.53802433837333,True,,55.29920426067596,1.4383213176710021
LSCC,Lattice Semiconductor,designer,2026-01-03,11232000,22146000,33378000,2026-01-03,0.0,133886000,-133886000,137007857,130.24000549316406,17843904048.286636,137007857,17710018048.286636,530.5895514496566,False,"stock comp of $120M exceeds EBITDA of $33M. Trough revenue against fixed opex leaves GAAP EBITDA near zero, so the multiple is measuring the denominator collapsing, not valuation",55.29920426067596,9.594885831421742
